"site","sensor_number","date_time","date","time","temp_durafet_c","p_h","tide","temp_c","temp_hobo_c"
"Alegria",4,2021-06-20 08:00:00,"06/20/2021","08:00:00",15.50455484,8.019800511,3.307788,16.1388888888889,NA
"Alegria",4,2021-06-20 08:15:00,"06/20/2021","08:15:00",15.5052287,8.025536402,3.218889,16.1611111111111,NA
"Alegria",4,2021-06-20 08:30:00,"06/20/2021","08:30:00",15.50543654,8.039986342,3.111692,16.1611111111111,NA
"Alegria",4,2021-06-20 08:45:00,"06/20/2021","08:45:00",15.50196019,8.039303475,2.988101,16.1722222222222,NA
"Alegria",4,2021-06-20 09:00:00,"06/20/2021","09:00:00",15.50243891,8.051941897,2.85084,16.1611111111111,NA
"Alegria",4,2021-06-20 09:15:00,"06/20/2021","09:15:00",15.49222622,8.057069412,2.702329,16.1611111111111,NA
"Alegria",4,2021-06-20 09:30:00,"06/20/2021","09:30:00",15.47714265,8.050801991,2.545668,16.1388888888889,NA
"Alegria",4,2021-06-20 09:45:00,"06/20/2021","09:45:00",15.48600475,8.055436901,2.384166,16.15,NA
"Alegria",4,2021-06-20 10:00:00,"06/20/2021","10:00:00",15.50281557,8.063926253,2.220716,16.1722222222222,NA
"Alegria",4,2021-06-20 10:15:00,"06/20/2021","10:15:00",15.53601182,8.075974979,2.058991,16.2111111111111,NA
"Alegria",4,2021-06-20 10:30:00,"06/20/2021","10:30:00",15.60003877,8.087541527,1.901961,16.3222222222222,NA
"Alegria",4,2021-06-20 10:45:00,"06/20/2021","10:45:00",15.61823194,8.100167954,1.753253,16.3,NA
"Alegria",4,2021-06-20 11:00:00,"06/20/2021","11:00:00",15.69278452,8.113963851,1.615718,16.4055555555556,NA
"Alegria",4,2021-06-20 11:15:00,"06/20/2021","11:15:00",15.72896214,8.126487299,1.492684,16.4277777777778,NA
"Alegria",4,2021-06-20 11:30:00,"06/20/2021","11:30:00",15.79888576,8.127687921,1.386695,16.5222222222222,NA
